,geoplot,invalidPlot
348,gesztely,
349,nagysz?ll?s (6 hét),
350,lübberstadt,
351,plőn,
352,nagysz?ll?s,
353,lieberstadt,
354,neuengamme,
355,san bosten,
356,ugonya,
357,sachsendorf,
358,nagytapolcsány,
359,schlesiensee,
360,frautenau,
361,posta,
362,westfalica,
363,mehltauer,
364,gyetva,
365,marsanck,
366,szlavianszk,
367,balf,
368,donnerskirchen,
369,győr,
370,schandorf,
371,marklenberg,
372,királyhelmec,
373,torn,
374,breslau,
375,hundsfeld,
376,miskolc,
377,kusmina,
378,deutschkreuz,
379,harka,
380,szentgál,
381,kiskunfélegyháza,
382,görlicz,
383,sonnenfeld,
384,kolditz,
385,zielitz,
386,vágszered,
387,belsen,
388,beregardó,
389,slazwedel,
390,akna-szlatina,
391,zsolna,
392,mahlhof,
393,repede,
394,wurzen,
395,bilke,
396,beregszász 4 hét,
397,tarpa,
398,webellin,
399,pürsko,
400,grünsberg,
401,geistling,
402,magyarkomját,
403,iloncán,
404,weiswasser,
405,beregbród,
406,neustadtglewe,
407,szobránc,
408,auschwitz - torgau,
409,tárkány,
410,folkenberg,
411,bártfa,
412,ordsruf,
413,schatzlar,
414,sachsenhaus,
415,lieberose,
416,botfalva,
417,krakkó,
418,freiburg,
419,alsódomonya,
420,porostov,
421,glogau,
422,gmünd,
423,nordhausen,
424,blanckenburg,
425,remetevasgyár,
426,fels?ripnyice,
427,sonneberg,
428,karlabad,
429,érsekújvár,
430,oberschlesiensee,
431,perecseny,
432,bergaelster,
433,tiszadada,
434,mezocsát,
435,passau,
436,augsburg,
437,rochlitz,
438,grastitz,
439,tiszaújlak,
440,roshlitz,
441,grasslitz,
442,alsóverecke,
443,tiszasárvár,
444,bor,
445,niederöderwitz,
446,berga,
447,körösmezo,
448,nyíregyháza,
449,nyirjespuszta (1944.04.25.-1944.05.15.),
450,plastau,
451,kótaj,
452,hadiüzemi munkás,
453,majdan,
454,willischtal,
455,dombó,
456,bomgarten,
457,lubics,
458,friedenswald,
459,prost,
460,lamburg,
461,ilosva,
462,munkács-váralja,
463,nagyszollos,
464,sala,
465,dunaharaszti,
466,edelstadt,
467,ignéc,
468,horneberg,
469,koszeg,
470,németporuba,
471,gelsenberg,
472,sommerda,
473,mauslovitz,
474,rethensee,
475,raguhn,
476,kravinkel,
477,nagyecsed,
478,gelsenkirchen,
479,essen,
480,csapovce,
481,lorenzkirche,
482,bártháza,
483,markkleberg,
484,eötvösfalva,
485,gyöngyös,
486,parschnitz,
487,kratzau,
488,gamás,
489,###,
490,léva,
491,holleschau,
492,brünn,
493,hévmagyarad,
494,dundagen,
495,windau,
496,deutschschützen,
497,pásztó,
498,windisch,
499,minihof,
500,aushwitz,
501,szászrégen,
502,marosvásárhely,
503,munkács téglagyár,
504,polena,
505,román##,
506,ausceitz,
507,kovászó,
508,alsószinevér,
509,felsovisó,
510,herneburg,
511,petrova,
512,wartenstadt,
513,offenbrug,
514,fényeslitke,
515,offenburg,
516,gunskircen,
517,eger,
518,niederorscbell,
519,langenstein,
520,nagyfalu (veli#na),
521,galánta,
522,irsava,
523,fünfteichen,
524,dora,
525,haleschen,
526,alsószine,
527,rábabogyoszló,
528,gelsehkirchen,
529,sommerdach,
530,meisellovitz,
531,ilonca,
532,fallesleben,
533,keselymezo,
534,dévaványa,
535,duderstadt,
536,therisienstadt,
537,günskirhcen,
538,nagykároly,
539,praust,
540,nagyléta,
541,herzburg,
542,mittenwald,
543,beregkövesd,
544,kópháza,
545,érsekujvár,
546,javozno,
547,blechhammer,
548,svájci védett ház,
549,békéscsaba,
550,tarchim,
551,kalini,
552,stuthof,
553,brahnau - bormberg,
554,fünffeichen,
555,berlin,
556,friedenthal,
557,gusen ii.,
558,nyírbátor,
559,schlossenburg,
560,kürschau,
561,budafok,
562,dömsöd,
563,kistécso,
