volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
284141,Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite,Basalt, , , , , , , , ,0,0,0,0
284150,Asuncion,Stratovolcano,1906,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",19.671,145.406,857,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite, , , , , , , , , ,0,0,0,0
284160,Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt,Andesite, , , , , , , , ,0,0,0,0
284170,Pagan,Stratovolcano,2012,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.13,145.8,570,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt,Andesite, , , , , , , , ,0,0,0,0
284200,Anatahan,Stratovolcano,2008,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite,Dacite,Basalt,Trachyandesite, , , , , , ,0,0,0,0
284211,NW Rota-1,Submarine,2010,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",14.601,144.775,-517,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt,Andesite, , , , , , , , ,0,0,0,5988
285010,Oshima-Oshima,Stratovolcano,1790,Japan,"Japan, Taiwan, Marianas",Hokkaido,41.51,139.367,732,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , , , , , , ,6,6,6,88023
285011,Esan,Lava dome,1874,Japan,"Japan, Taiwan, Marianas",Hokkaido,41.805,141.166,618,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , , , , , , ,1734,5831,33197,916560
285020,Hokkaido-Komagatake,Stratovolcano,2000,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.063,140.677,1131,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite, , , , , , , , , ,173,23091,234213,962081
285030,Toya,Stratovolcano,2001,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.544,140.839,733,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite,Dacite,Rhyolite, , , , , , ,5723,36191,214565,3206914
285031,Niseko,Stratovolcano,-4900,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.875,140.659,1308,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite, , , , , , , , , ,778,9981,75171,2967982
285032,Yoteizan,Stratovolcano,-1050,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.827,140.812,1888,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Dacite, , , , , , , , ,205,19419,80006,2988960
285034,Kuttara,Stratovolcano,1820,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.491,141.16,549,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite,Dacite,Rhyolite, , , , , , ,10198,34015,220509,3371955
285040,Shikotsu,Caldera,1979,Japan,"Japan, Taiwan, Marianas",Hokkaido,42.688,141.38,1320,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite,Rhyolite, , , , , , , ,130474,130474,316816,3096376
285050,Tokachidake,Stratovolcano,2004,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.418,142.686,2077,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Basalt,Dacite, , , , , , , ,12,227,60382,1373264
285060,Taisetsuzan,Stratovolcano,1739,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.664,142.854,2291,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Dacite, , , , , , , , ,19,119,16391,1304267
285061,Maruyama,Stratovolcano,1898,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.418,143.031,2013,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite,Rhyolite, , , , , , , ,0,6,3682,1260920
285070,Akan,Caldera,2008,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.384,144.013,1499,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite,Basalt,Rhyolite, , , , , , ,2062,2062,9756,929538
285080,Kussharo,Caldera,1320,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.615,144.427,574,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite,Rhyolite,Basalt, , , , , , ,8331,8331,26476,680109
285081,Mashu,Caldera,1080,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.572,144.561,857,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Dacite,Basalt, , , , , , , ,9794,9794,25627,632919
285090,Shiretoko-Iozan,Stratovolcano,1936,Japan,"Japan, Taiwan, Marianas",Hokkaido,44.133,145.161,1562,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite, , , , , , , , , ,6,1516,7890,209060
290010,Tomariyama [Golovnin],Caldera,1848,Japan - administered by Russia,Kuril Islands,Kuril Islands,43.844,145.504,535,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Dacite,Basalt, , , , , , , ,1796,1796,2445,159344
290020,Raususan [Mendeleev],Stratovolcano,1880,Japan - administered by Russia,Kuril Islands,Kuril Islands,43.979,145.733,882,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Dacite,Basalt, , , , , , , ,236,1783,3527,114486
290030,Chachadake [Tiatia],Stratovolcano,1981,Japan - administered by Russia,Kuril Islands,Kuril Islands,44.353,146.252,1822,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt,Andesite, , , , , , , , ,3,223,896,16275
290050,Etorofu-Atosanupuri [Atosanupuri],Stratovolcano,1932,Japan - administered by Russia,Kuril Islands,Kuril Islands,44.808,147.131,1206,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Basalt, , , , , , , , ,1,289,644,4311
290070,Etorofu-Yakeyama [Grozny Group],Complex,2013,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.012,147.871,1158,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite, , , , , , , , , ,0,39,2417,6361
290080,Sashiusudake [Baransky],Stratovolcano,1951,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.1,148.019,1125,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Dacite, , , , , , , , ,0,0,4061,6487
290090,Chirippusan [Chirip],Stratovolcano,1860,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.338,147.92,1587,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt,Andesite, , , ,Dacite, , , , ,77,372,1125,4810
290100,Moyorodake [Medvezhia],Stratovolcano,1999,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.389,148.838,1124,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Basalt,Dacite,Rhyolite, , , , , , ,11,42,600,4333
290120,Kolokol Group,Stratovolcano,1973,Russia,Kuril Islands,Kuril Islands,46.042,150.083,1328,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite, , , , , , , , , ,2,2,128,375
290150,Chirpoi,Caldera,2016,Russia,Kuril Islands,Kuril Islands,46.532,150.871,742,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite,Basalt,Dacite, , , , , , , ,1,1,3,491
290161,Milna,Stratovolcano,1914,Russia,Kuril Islands,Kuril Islands,46.815,151.786,1504,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite, , , , , , , , , ,43,47,49,188
290200,Ketoi,Stratovolcano,1960,Russia,Kuril Islands,Kuril Islands,47.35,152.475,1172,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite,Basalt, , , , , , , , ,1,10,11,90
290220,Rasshua,Stratovolcano,1957,Russia,Kuril Islands,Kuril Islands,47.77,153.02,956,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite,Dacite, , , , , , , , ,0,9,9,200
290240,Sarychev Peak,Stratovolcano,2019,Russia,Kuril Islands,Kuril Islands,48.092,153.2,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite, , , , , , , , , ,17,143,143,148
290300,Kharimkotan,Stratovolcano,1933,Russia,Kuril Islands,Kuril Islands,49.12,154.508,1145,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Dacite,Basalt, , , , , , , ,2,2,4,22
290310,Tao-Rusyr Caldera,Stratovolcano,1952,Russia,Kuril Islands,Kuril Islands,49.35,154.7,1325,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Basalt, , , , , , , , ,0,73,83,394
290360,Chikurachki,Stratovolcano,2016,Russia,Kuril Islands,Kuril Islands,50.324,155.461,1781,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , , , , , , ,0,65,527,2492
290380,Ebeko,Stratovolcano,2020,Russia,Kuril Islands,Kuril Islands,50.686,156.014,1103,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite, , , , , , , , , ,0,267,1076,3098
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Kuril Islands,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , , , , , , ,0,64,64,2887
300020,Koshelev,Stratovolcano,1690,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.356,156.753,1822,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , ,Dacite, , , , ,0,2,855,4390
300021,Yavinsky,Stratovolcano,-4050,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.533,156.629,646,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,30,595,1356,4813
300022,Diky Greben,Lava dome,350,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.452,156.978,1040,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite,Rhyolite, , , , , , , ,0,56,544,4568
300023,Kurile Lake,Caldera,-6440,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.45,157.12,81,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Rhyolite, , , ,Andesite, , , , ,23,23,397,4078
300050,Ksudach,Stratovolcano,1907,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,51.844,157.572,1079,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite,Basalt, , , , , , , ,0,0,244,3850
300053,Khodutka,Stratovolcano,-300,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.062,157.711,2039,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Dacite,Rhyolite, , , , , , , ,0,0,187,3525
300060,Mutnovsky,Complex,2000,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.449,158.196,2288,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt, , , , ,Andesite,Dacite, , , ,0,0,97,250858
300070,Gorely,Caldera,2010,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.559,158.03,1799,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite,Dacite, , , , , , , ,0,0,19,250293
300080,Opala,Caldera,1776,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.543,157.339,2439,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , ,Dacite,Rhyolite, , , ,22,22,50,58949
300083,Vilyuchik,Stratovolcano,-8050,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.7,158.28,2173,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Basalt, , , , , , , , ,0,1,23874,276468
300084,Barkhatnaya Sopka,Lava dome,-3550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.802,158.24,874,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite,Dacite,Rhyolite, , , , , , ,0,208,13963,252873
300100,Avachinsky,Stratovolcano,2001,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.256,158.836,2717,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Basalt, , , ,Dacite, , , , ,0,0,180016,270205
300122,Kostakan,Pyroclastic cone,1350,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.83,158.05,1150,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite, , , , , , , , ,13,13,1352,232577
300123,Bakening,Stratovolcano,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.905,158.07,2278,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Dacite,Basalt,Rhyolite, , , , , , ,0,10,1583,87139
300124,Zavaritsky,Pyroclastic cone,-800,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.905,158.385,1567,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,0,0,37,223868
300125,Akademia Nauk,Stratovolcano,1996,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , ,Basalt,Rhyolite, , , ,3,3,615,12484
300130,Karymsky,Stratovolcano,2019,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.049,159.443,1513,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , , , , , , ,0,0,291,10848
300140,Maly Semyachik,Caldera,1952,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.135,159.674,1527,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , ,Dacite, , , , ,98,98,497,10182
300150,Bolshoi Semiachik,Stratovolcano,-4450,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.32,160.02,1720,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite,Dacite,Rhyolite, , , , , , ,0,0,554,7373
300170,Uzon,Caldera,200,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.5,159.97,1617,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Basalt,Dacite,Rhyolite, , , , , , ,0,0,294,9144
300180,Kikhpinych,Stratovolcano,1550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.489,160.251,1506,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite, , , , , , , , ,0,29,687,4322
300190,Krasheninnikov,Caldera,1550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.596,160.27,1816,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite,Dacite, , , , , , , ,308,308,814,4674
300210,Gamchen,Complex,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.974,160.703,2539,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite, , , , , , , , ,0,0,382,3829
300221,Vysoky,Stratovolcano,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.064,160.765,2129,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite,Basalt,Dacite, , , , , , , ,0,0,123,3657
300240,Tolbachik,Shield,2013,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.832,160.326,3611,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , , , , , , ,0,0,225,10487
300250,Bezymianny,Stratovolcano,2020,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.972,160.595,2882,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , , , , , , ,0,0,47,11728
300260,Klyuchevskoy,Stratovolcano,2020,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.056,160.642,4754,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , , , , , , ,0,0,292,12406
300261,Ushkovsky,Compound,1890,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.113,160.509,3943,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , , , , , , ,0,0,292,12461
300270,Sheveluch,Stratovolcano,2020,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.653,161.36,3283,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Basalt, , , , , , , , ,0,0,1718,11613
300273,Cherpuk Group,Pyroclastic cone,-4550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.55,157.47,1868,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite, , , , , , , , , ,0,0,32,3323
300360,Bolshoi-Kekuknaysky,Shield,-5310,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.483,157.917,1401,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite,Dacite, , , , , , , ,0,0,158,2779
300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.656,159.647,2570,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite, , , ,Rhyolite,Dacite, , , ,0,0,3,10679
300560,Titila,Shield,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.406,160.108,1523,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,0,0,72,2877
300590,Elovsky,Shield,-7550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.55,160.53,1381,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,0,0,44,2704
300650,Nylgimelkin,Shield,-3550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,57.97,160.65,1764,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,0,0,26,1792
300700,Severny,Shield,-1550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,58.28,160.87,1936,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt,Andesite, , , , , , , , ,0,0,4,3152
302030,Udokan Plateau,Pyroclastic cone,-220,Russia,Kamchatka and Mainland Asia,Russia (southeastern),56.28,117.77,2180,Rift zone / Continental crust (>25 km),Eruption Dated,Trachybasalt,Basalt,Trachyte,Foidite,Trachyandesite, , , , , ,12,12,62,4688
302060,Jom-Bolok,Volcanic field,-5180,Russia,Kamchatka and Mainland Asia,Russia (southeastern),52.713,99.021,2047,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,0,0,6,3578
303010,Taryatu-Chulutu,Volcanic field,-2980,Mongolia,Kamchatka and Mainland Asia,Mongolia,48.133,99.95,2326,Intraplate / Continental crust (>25 km),Eruption Dated,Trachybasalt,Phonotephrite,Basalt,Trachyandesite,Andesite, , , , , ,5602,5602,5602,29050
304030,Kunlun Volcanic Group,Pyroclastic cone,1951,China,Kamchatka and Mainland Asia,China (western),35.52,80.2,5808,Intraplate / Continental crust (>25 km),Eruption Observed,Trachyte, , , , , , , , , ,1253,1253,3212,22621
305011,Arxan-Chaihe,Pyroclastic cone,0,China,Kamchatka and Mainland Asia,China (eastern),47.45,120.8,1677,Intraplate / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,6435,6435,6435,188163
305030,Wudalianchi,Volcanic field,1776,China,Kamchatka and Mainland Asia,China (eastern),48.72,126.12,597,Intraplate / Continental crust (>25 km),Eruption Observed,Trachybasalt, , , , , , , , , ,57885,57885,136201,2164526
305040,Jingbo,Volcanic field,-520,China,Kamchatka and Mainland Asia,China (eastern),44.08,128.83,1000,Intraplate / Continental crust (>25 km),Eruption Dated,Trachybasalt,Phonotephrite, , , ,Basalt,Foidite, , , ,35038,35038,149132,2372857
305050,Longgang Group,Pyroclastic cone,350,China,Kamchatka and Mainland Asia,China (eastern),42.33,126.5,1000,Intraplate / Continental crust (>25 km),Eruption Dated,Basalt,Trachybasalt, , , , , , , , ,34708,34708,197016,4407575
305060,Changbaishan,Stratovolcano,1903,China-North Korea,Kamchatka and Mainland Asia,China (eastern),41.98,128.08,2744,Intraplate / Continental crust (>25 km),Eruption Observed,Trachyte,Rhyolite,Basalt, , ,Trachyandesite,Trachybasalt, , , ,268,1833,29476,1660355
306030,Ulreung,Stratovolcano,-2990,South Korea,Kamchatka and Mainland Asia,Korea,37.5,130.87,984,Intraplate / Continental crust (>25 km),Eruption Dated,Trachyandesite,Phonolite, , , , , , , , ,7399,9210,9210,9210
306040,Halla,Shield,1007,South Korea,Kamchatka and Mainland Asia,Korea,33.361,126.53,1919,Intraplate / Continental crust (>25 km),Eruption Observed,Basalt,Trachybasalt,Trachyandesite, , ,Trachyte, , , , ,134,2653,482766,543082
311060,Semisopochnoi,Stratovolcano,2020,United States,Alaska,Aleutian Islands,51.93,179.58,1221,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt,Andesite,Dacite,Trachyandesite, , , , , , ,0,0,0,0
311080,Tanaga,Stratovolcano,1914,United States,Alaska,Aleutian Islands,51.885,-178.146,1806,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt,Andesite, , , ,Dacite, , , , ,0,0,0,0
311110,Kanaga,Stratovolcano,2012,United States,Alaska,Aleutian Islands,51.923,-177.168,1307,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Trachyandesite,Dacite,Basalt, , , , , , ,0,0,0,0
311111,Moffett,Stratovolcano,-1600,United States,Alaska,Aleutian Islands,51.944,-176.747,1196,Subduction zone / Intermediate crust (15-25 km),Eruption Dated,Andesite,Basalt, , , , , , , , ,0,0,0,0
311160,Atka,Stratovolcano,1812,United States,Alaska,Aleutian Islands,52.331,-174.139,1448,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt,Dacite,Andesite, , , , , , , ,0,0,207,207
311161,Korovin,Stratovolcano,2007,United States,Alaska,Aleutian Islands,52.381,-174.166,1518,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite,Dacite, , , , , , , ,0,0,205,205
311180,Seguam,Stratovolcano,1993,United States,Alaska,Aleutian Islands,52.315,-172.51,1054,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Dacite,Basalt, , ,Rhyolite, , , , ,0,0,0,0
311190,Amukta,Stratovolcano,1997,United States,Alaska,Aleutian Islands,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite, , , , , , , , , ,0,0,0,0
311210,Yunaska,Shield,1937,United States,Alaska,Aleutian Islands,52.643,-170.629,550,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Basalt,Dacite, , , , , , , ,0,0,0,0
311290,Okmok,Shield,2008,United States,Alaska,Aleutian Islands,53.43,-168.13,1073,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt,Andesite, , , ,Dacite,Trachyte,Rhyolite, , ,0,0,0,4
311300,Bogoslof,Submarine,2017,United States,Alaska,Aleutian Islands,53.93,-168.03,150,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Trachyandesite,Basalt,Andesite, , , , , , , ,0,0,0,4216
311310,Makushin,Stratovolcano,1995,United States,Alaska,Aleutian Islands,53.891,-166.923,1800,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite,Basalt,Trachyandesite,Dacite, ,Trachyte, , , , ,0,0,3437,3850
311320,Akutan,Stratovolcano,1992,United States,Alaska,Aleutian Islands,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt,Andesite,Trachyandesite, , ,Trachyte,Dacite, , , ,0,24,233,4361
311340,Westdahl,Stratovolcano,1992,United States,Alaska,Aleutian Islands,54.516,-164.65,1563,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Trachyandesite,Andesite, , ,Trachyte,Dacite, , , ,0,0,0,305
311350,Fisher,Stratovolcano,1830,United States,Alaska,Aleutian Islands,54.65,-164.43,1112,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite,Basalt,Trachyte, , , , , , ,0,0,0,25
311360,Shishaldin,Stratovolcano,2020,United States,Alaska,Aleutian Islands,54.756,-163.97,2857,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Andesite, , , ,Dacite,Trachyte,Rhyolite, , ,0,0,10,197
311390,Amak,Stratovolcano,1796,United States,Alaska,Aleutian Islands,55.424,-163.149,488,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite, , , , , , , , , ,0,0,0,1345
312030,Pavlof,Stratovolcano,2016,United States,Alaska,Alaska Peninsula,55.417,-161.894,2493,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Basalt, , , , , , , , ,0,0,0,3002
312090,Aniakchak,Caldera,1931,United States,Alaska,Alaska Peninsula,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , ,Basalt,Trachyte,Trachyandesite, , ,0,0,36,479
312110,Chiginagak,Stratovolcano,1998,United States,Alaska,Alaska Peninsula,57.135,-156.99,2221,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , ,Basalt, , , , ,0,0,0,52
312130,Ugashik-Peulik,Stratovolcano,1814,United States,Alaska,Alaska Peninsula,57.751,-156.368,1474,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Basalt,Dacite,Rhyolite, , , , , , ,0,0,0,102
312131,Ukinrek Maars,Maar,1977,United States,Alaska,Alaska Peninsula,57.832,-156.51,91,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt,Dacite, , , , , , , , ,0,0,0,739
312140,Martin,Stratovolcano,1953,United States,Alaska,Alaska Peninsula,58.172,-155.361,1863,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite, , , , , , , , ,0,0,0,914
312160,Trident,Stratovolcano,1974,United States,Alaska,Alaska Peninsula,58.236,-155.1,1864,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , , , , , , ,0,0,0,117
312170,Katmai,Stratovolcano,1912,United States,Alaska,Alaska Peninsula,58.28,-154.963,2047,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , ,Basalt,Rhyolite, , , ,0,0,0,128
313010,Augustine,Lava dome,2006,United States,Alaska,Alaska (southwestern),59.363,-153.43,1252,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , ,Rhyolite,Basalt,Trachyandesite, , ,0,0,0,759
313020,Iliamna,Stratovolcano,1876,United States,Alaska,Alaska (southwestern),60.032,-153.09,3053,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite, , , , ,Basalt, , , , ,0,0,1,7564
313040,Spurr,Stratovolcano,1992,United States,Alaska,Alaska (southwestern),61.299,-152.251,3374,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite, , , , ,Dacite,Basalt,Rhyolite, , ,0,0,0,11097
314010,St. Paul Island,Shield,-1280,United States,Alaska,Alaska (western),57.18,-170.3,203,Intraplate / Continental crust (>25 km),Eruption Dated,Trachybasalt,Basalt, , , ,Rhyolite, , , , ,582,582,582,783
314060,Imuruk Lake,Shield,300,United States,Alaska,Alaska (western),65.517,-163.45,610,Intraplate / Continental crust (>25 km),Eruption Dated,Basalt, , , , , , , , , ,0,0,0,0
315020,Wrangell,Shield,1912,United States,Alaska,Alaska (eastern),62.006,-144.017,4278,Intraplate / Continental crust (>25 km),Eruption Observed,Andesite,Dacite, , , , , , , , ,0,0,0,1844
315040,Edgecumbe,Stratovolcano,-2220,United States,Alaska,Alaska (eastern),57.05,-135.75,970,Intraplate / Continental crust (>25 km),Eruption Dated,Andesite,Basalt,Rhyolite,Dacite, , , , , , ,0,0,6613,7074
