Place,place_of_birth,ghetto,camps,Latitude,Longitude,total_freq,place_type
 Birkenau,0.0,0.0,0.0,49.5638,8.7264,0.0,place_of_birth
 Hertine,0.0,0.0,0.0,50.6033667,13.9085426,0.0,place_of_birth
 Theresienstadt,0.0,0.0,0.0,50.510716,14.149717,0.0,place_of_birth
 Allach,0.0,0.0,0.0,48.1959936,11.4570128,0.0,place_of_birth
 Barthe,0.0,0.0,0.0,43.2833116,0.4695406,0.0,place_of_birth
 Lenzing,0.0,0.0,0.0,47.9733296,13.6049039,0.0,place_of_birth
 Görlitz,0.0,0.0,0.0,51.1563185,14.991018,0.0,place_of_birth
 Ragu,0.0,0.0,0.0,44.5980083,25.4010627,0.0,place_of_birth
 Barth,0.0,0.0,0.0,54.3690547,12.7258585,0.0,place_of_birth
 Leipzig,0.0,0.0,0.0,51.3406321,12.3747329,0.0,place_of_birth
 Neubrandenburg,0.0,0.0,0.0,53.5574458,13.2602781,0.0,place_of_birth
 Altenburg,0.0,0.0,0.0,50.9852411,12.4340988,0.0,place_of_birth
 Hirschberg,0.0,0.0,0.0,50.8501049,15.653749235408071,0.0,place_of_birth
 Bunzlau,0.0,0.0,0.0,51.2630333,15.5651049,0.0,place_of_birth
 Dora,0.0,0.0,0.0,33.7286935,-87.0904188,0.0,place_of_birth
 Mehlhof,0.0,0.0,0.0,49.0438949,10.0320805,0.0,place_of_birth
 Toucha,0.0,0.0,0.0,45.0313703,7.0996041,0.0,place_of_birth
 Mittenwald,0.0,0.0,0.0,47.4429543,11.2655684,0.0,place_of_birth
 Gelsenberg,0.0,0.0,0.0,48.8120638,14.9626493,0.0,place_of_birth
 Sommerda,0.0,0.0,0.0,51.1618258,11.1174874,0.0,place_of_birth
 Janina,0.0,0.0,0.0,50.4996818,20.838032,0.0,place_of_birth
 Monowitz,0.0,0.0,0.0,50.0331874,19.3000429,0.0,place_of_birth
 Landeshut,0.0,0.0,0.0,50.78468925,16.022363067768467,0.0,place_of_birth
 Gunskirchen,0.0,0.0,0.0,48.1334587,13.9427447,0.0,place_of_birth
 Günskirchen,0.0,0.0,0.0,48.1334587,13.9427447,0.0,place_of_birth
 Plassow,0.0,0.0,0.0,54.42729,17.0725198,0.0,place_of_birth
 Marktleben,0.0,0.0,0.0,52.5704677,13.4100813,0.0,place_of_birth
 Markkleberg,0.0,0.0,0.0,51.2785751,12.3718819,0.0,place_of_birth
 Hamburg,0.0,0.0,0.0,53.550341,10.000654,0.0,place_of_birth
 Bergen Belsen,0.0,0.0,0.0,52.7580569,9.9117992,0.0,place_of_birth
 Leonburg,0.0,0.0,0.0,46.58460135,11.16328540135344,0.0,place_of_birth
 Tannhausen,0.0,0.0,0.0,48.9799525,10.3579584,0.0,place_of_birth
 Schotterwerk,0.0,0.0,0.0,47.53481345,12.56586986407292,0.0,place_of_birth
 Ravensbrück,0.0,0.0,0.0,53.1944796,13.1478107,0.0,place_of_birth
 Bárd,0.0,0.0,0.0,45.5876709,4.012011,0.0,place_of_birth
 Spandau,0.0,0.0,0.0,52.535788,13.1977924,0.0,place_of_birth
 Sachsenhausen,0.0,0.0,0.0,50.1002618,8.6835988,0.0,place_of_birth
 Windau,0.0,0.0,0.0,47.1353453,24.5737118,0.0,place_of_birth
 Stutthof,0.0,0.0,0.0,54.330086,19.177209,0.0,place_of_birth
 Infeld,0.0,0.0,0.0,-26.3444409,-60.433744,0.0,place_of_birth
 Schatzlar,0.0,0.0,0.0,50.6585674,15.9080271,0.0,place_of_birth
 Weisswasser,0.0,0.0,0.0,50.5014795,14.8041263,0.0,place_of_birth
 Reichenbach,0.0,0.0,0.0,50.6200076,12.298936,0.0,place_of_birth
 Porta,0.0,0.0,0.0,42.5260507,1.8256362,0.0,place_of_birth
 Salzwedel,0.0,0.0,0.0,52.8528456,11.1539699,0.0,place_of_birth
 Belsen,0.0,0.0,0.0,41.257175,69.5153625,0.0,place_of_birth
 Malhof,0.0,0.0,0.0,50.9746547,2.3178993,0.0,place_of_birth
 Gléve,0.0,0.0,0.0,6.3420154,1.4920079,0.0,place_of_birth
 Hildesheim,0.0,0.0,0.0,52.1521636,9.9513046,0.0,place_of_birth
 Ahlem,0.0,0.0,0.0,52.3850135,9.6653858,0.0,place_of_birth
 Unterlüss,0.0,0.0,0.0,52.834578,10.297171,0.0,place_of_birth
 Berga,0.0,0.0,0.0,42.1011456,1.8454758,0.0,place_of_birth
 Pennig,0.0,0.0,0.0,47.88084015,11.460463502752074,0.0,place_of_birth
 Niederöderwitz,0.0,0.0,0.0,50.949798,14.7324771,0.0,place_of_birth
 Nürnberg,0.0,0.0,0.0,49.453872,11.077298,0.0,place_of_birth
 Folkenberg,0.0,0.0,0.0,45.6302387,-122.8716752,0.0,place_of_birth
 Franfurt am Main,0.0,0.0,0.0,50.0513035,8.5719211,0.0,place_of_birth
 Praust,0.0,0.0,0.0,54.2608539,18.6461908,0.0,place_of_birth
 Neusalz,0.0,0.0,0.0,51.8019595,15.7175608,0.0,place_of_birth
 Nordhausen,0.0,0.0,0.0,51.5051574,10.7925317,0.0,place_of_birth
 Blanckenburg,0.0,0.0,0.0,51.8026268,4.6526304,0.0,place_of_birth
 Duderstadt,0.0,0.0,0.0,51.5123672,10.2610699,0.0,place_of_birth
 Sonneberg,0.0,0.0,0.0,50.3575412,11.1691714,0.0,place_of_birth
 Bromberg,0.0,0.0,0.0,53.12974625,18.02936965853485,0.0,place_of_birth
 Lichtenwörth,0.0,0.0,0.0,47.8165568,16.3159892987547,0.0,place_of_birth
 Gusen II.,0.0,0.0,0.0,48.2581303,14.46266,0.0,place_of_birth
 Retzow,0.0,0.0,0.0,52.6250923,12.6827945,0.0,place_of_birth
 Gleiwitz,0.0,0.0,0.0,50.30113145,18.662347227971978,0.0,place_of_birth
 Langerstein,0.0,0.0,0.0,49.9970712,11.1811321,0.0,place_of_birth
 Bolzenburg,0.0,0.0,0.0,52.4191106,8.278663,0.0,place_of_birth
 Göttenburg,0.0,0.0,0.0,-24.6186111,31.4311111,0.0,place_of_birth
 Waldenburg,0.0,0.0,0.0,48.7503918,7.1965445,0.0,place_of_birth
 Mersen,0.0,0.0,0.0,48.98382405,6.028506381186524,0.0,place_of_birth
 Leibisch,0.0,0.0,0.0,49.0060132,8.4091281,0.0,place_of_birth
 Allendorf,0.0,0.0,0.0,50.2679502,7.9982619,0.0,place_of_birth
 Berlin,0.0,0.0,0.0,52.5170365,13.3888599,0.0,place_of_birth
 Siemensstadt,0.0,0.0,0.0,52.5398082,13.2568934,0.0,place_of_birth
 Weiswasser,0.0,0.0,0.0,50.5108665,16.6431521,0.0,place_of_birth
 Farsleben,0.0,0.0,0.0,52.27729235,11.6531149647817,0.0,place_of_birth
 Tröbitz,0.0,0.0,0.0,51.5960871,13.430963,0.0,place_of_birth
 Oranienburg,0.0,0.0,0.0,52.7529379,13.2457591,0.0,place_of_birth
 Regensburg,0.0,0.0,0.0,49.0195333,12.0974869,0.0,place_of_birth
 Dora (Nordhausen),0.0,0.0,0.0,51.53453875,10.75068108791962,0.0,place_of_birth
 Harzung,0.0,0.0,0.0,53.4379858,12.9370816,0.0,place_of_birth
 Sankt Posten,0.0,0.0,0.0,59.728387,10.246849,0.0,place_of_birth
 Fallersleben,0.0,0.0,0.0,52.4190578,10.7187346,0.0,place_of_birth
 Ohrdruf,0.0,0.0,0.0,50.8270085,10.7319499,0.0,place_of_birth
 Lippstadt,0.0,0.0,0.0,51.6747074,8.347194,0.0,place_of_birth
 Frankfurt am Main,0.0,0.0,0.0,50.1106444,8.6820917,0.0,place_of_birth
 Leonberg,0.0,0.0,0.0,48.8012983,9.0150026,0.0,place_of_birth
 Kratzau,0.0,0.0,0.0,50.8171929,14.9687813,0.0,place_of_birth
 Langenstein,0.0,0.0,0.0,48.2512861,14.482099,0.0,place_of_birth
 Gelsenkirchen,0.0,0.0,0.0,51.5110321,7.0960124,0.0,place_of_birth
 Essen,0.0,0.0,0.0,51.4582235,7.0158171,0.0,place_of_birth
 Braunschweig,0.0,0.0,0.0,52.2646577,10.5236066,0.0,place_of_birth
 Dresden,0.0,0.0,0.0,51.0493286,13.7381437,0.0,place_of_birth
 Studhof,0.0,0.0,0.0,47.5918847,8.31823308946117,0.0,place_of_birth
 Dörnau,0.0,0.0,0.0,46.4353478,15.9548875,0.0,place_of_birth
 Krasnow,0.0,0.0,0.0,52.0769444,20.1772222,0.0,place_of_birth
 Parschnitz,0.0,0.0,0.0,50.5740424,15.949143,0.0,place_of_birth
 Rochlitz,0.0,0.0,0.0,51.0456789,12.7990531,0.0,place_of_birth
 Mehltauer,0.0,0.0,0.0,50.0938116,11.52353,0.0,place_of_birth
 Guben,0.0,0.0,0.0,51.9503235,14.7153567,0.0,place_of_birth
 Raguhn,0.0,0.0,0.0,51.708566950000005,12.29782471426285,0.0,place_of_birth
 Nussberg,0.0,0.0,0.0,53.974488,22.1635477,0.0,place_of_birth
 Thorn,0.0,0.0,0.0,53.0102721,18.6048094,0.0,place_of_birth
 Olec,0.0,0.0,0.0,48.6620214,-3.6923803,0.0,place_of_birth
 Wedell,0.0,0.0,0.0,52.9484,14.49651,0.0,place_of_birth
 Regensdorf,0.0,0.0,0.0,47.4317645,8.4680435,0.0,place_of_birth
 Zeitz,0.0,0.0,0.0,51.0491637,12.1349991,0.0,place_of_birth
 Buna,0.0,0.0,0.0,43.2512561,17.8689728,0.0,place_of_birth
 Bergen,0.0,0.0,0.0,60.3943055,5.3259192,0.0,place_of_birth
 Strasshof,0.0,0.0,0.0,48.3189487,16.6429437,0.0,place_of_birth
 München,0.0,0.0,0.0,48.1371079,11.5753822,0.0,place_of_birth
 Gelenau,0.0,0.0,0.0,51.2548986,14.0713547,0.0,place_of_birth
 Hohenelbe,0.0,0.0,0.0,50.6271452,15.6095779,0.0,place_of_birth
 Mahlhof,0.0,0.0,0.0,47.5209123,12.327934,0.0,place_of_birth
 Lubics,0.0,0.0,0.0,46.6179118,17.7606847,0.0,place_of_birth
 Friedenswald,0.0,0.0,0.0,38.0738921,-92.7626273,0.0,place_of_birth
 Prost,0.0,0.0,0.0,48.3357906,12.590252,0.0,place_of_birth
 Horneburg,0.0,0.0,0.0,53.508793,9.577211,0.0,place_of_birth
 Pforta,0.0,0.0,0.0,51.1423277,11.7517859,0.0,place_of_birth
 Freiburg,0.0,0.0,0.0,47.9960901,7.8494005,0.0,place_of_birth
 Breslau,0.0,0.0,0.0,51.1089776,17.0326689,0.0,place_of_birth
 Hundsfeld,0.0,0.0,0.0,50.0633728,9.8717623,0.0,place_of_birth
 május,0.0,0.0,0.0,47.5411734,19.1229543,0.0,place_of_birth
 Gelsen,0.0,0.0,0.0,48.2133425,14.1077845,0.0,place_of_birth
 Oberwüstegiersdorf,0.0,0.0,0.0,50.6679766,16.3755892,0.0,place_of_birth
 Sonnenfeld,0.0,0.0,0.0,48.9563545,9.070101,0.0,place_of_birth
 Kolditz,0.0,0.0,0.0,51.3506883,12.6765695,0.0,place_of_birth
 Horneberg,0.0,0.0,0.0,47.3879698,7.7782972,0.0,place_of_birth
 Mettenheim,0.0,0.0,0.0,49.7388606,8.3250304,0.0,place_of_birth
 Buchberg,0.0,0.0,0.0,47.5726201,8.56076,0.0,place_of_birth
 St. Posten,0.0,0.0,0.0,37.1576753,-92.947157,0.0,place_of_birth
 Harka,0.0,0.0,0.0,47.6342337,16.602306,0.0,place_of_birth
 Friedenthal,0.0,0.0,0.0,50.8978795,7.4707379,0.0,place_of_birth
 Grünsberg,0.0,0.0,0.0,49.3722231,11.3246134,0.0,place_of_birth
